Year,Units,Industry category,Value
1998,MISK per capita,C: 27 Manufacture of electrical equipment,0.001561
1999,MISK per capita,C: 27 Manufacture of electrical equipment,0.001724
2000,MISK per capita,C: 27 Manufacture of electrical equipment,0.001782
2001,MISK per capita,C: 27 Manufacture of electrical equipment,0.001871
2002,MISK per capita,C: 27 Manufacture of electrical equipment,0.001668
2003,MISK per capita,C: 27 Manufacture of electrical equipment,0.001379
2004,MISK per capita,C: 27 Manufacture of electrical equipment,0.001545
2005,MISK per capita,C: 27 Manufacture of electrical equipment,0.001959
2006,MISK per capita,C: 27 Manufacture of electrical equipment,0.001671
2007,MISK per capita,C: 27 Manufacture of electrical equipment,0.001671
2008,MISK per capita,C: 27 Manufacture of electrical equipment,0.002808
2009,MISK per capita,C: 27 Manufacture of electrical equipment,0.002973
2010,MISK per capita,C: 27 Manufacture of electrical equipment,0.004412
2011,MISK per capita,C: 27 Manufacture of electrical equipment,0.006582
2012,MISK per capita,C: 27 Manufacture of electrical equipment,0.007588
2013,MISK per capita,C: 27 Manufacture of electrical equipment,0.008921
2014,MISK per capita,C: 27 Manufacture of electrical equipment,0.003500
2015,MISK per capita,C: 27 Manufacture of electrical equipment,0.006597
2016,MISK per capita,C: 27 Manufacture of electrical equipment,0.005658
2017,MISK per capita,C: 27 Manufacture of electrical equipment,0.005034
2018,MISK per capita,C: 27 Manufacture of electrical equipment,0.005706
2019,MISK per capita,C: 27 Manufacture of electrical equipment,0.004530
1997,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.012061
1998,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.012483
1999,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.012748
2000,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.011792
2001,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.015008
2002,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.015387
2003,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.016118
2004,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.017382
2005,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.015307
2006,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.016555
2007,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.016425
2008,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.022729
2009,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.026162
2010,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.031373
2011,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.032713
2012,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.040095
2013,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.035917
2014,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.040265
2015,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.038148
2016,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.047021
2017,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.049737
2018,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.057780
2019,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.056346
1997,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.000977
1998,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.001087
1999,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.001115
2000,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.001132
2001,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.001347
2002,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.001322
2003,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.001171
2004,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.001239
2005,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.001435
2006,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.001232
2007,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.001579
2008,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.001580
2009,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.001412
2010,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.001245
2011,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.001731
2012,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.001377
2013,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.001388
2014,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.001533
2015,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.001802
2016,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.001997
2017,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.001570
2018,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.001508
2019,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.001189
1997,MISK per capita,C: 30 Manufacture of other transport equipment,0.004131
1998,MISK per capita,C: 30 Manufacture of other transport equipment,0.004100
1999,MISK per capita,C: 30 Manufacture of other transport equipment,0.003613
2000,MISK per capita,C: 30 Manufacture of other transport equipment,0.003780
2001,MISK per capita,C: 30 Manufacture of other transport equipment,0.004081
2002,MISK per capita,C: 30 Manufacture of other transport equipment,0.004151
2003,MISK per capita,C: 30 Manufacture of other transport equipment,0.003365
2004,MISK per capita,C: 30 Manufacture of other transport equipment,0.003431
2005,MISK per capita,C: 30 Manufacture of other transport equipment,0.003855
2006,MISK per capita,C: 30 Manufacture of other transport equipment,0.003571
2007,MISK per capita,C: 30 Manufacture of other transport equipment,0.000934
2008,MISK per capita,C: 30 Manufacture of other transport equipment,0.001308
2009,MISK per capita,C: 30 Manufacture of other transport equipment,0.001119
2010,MISK per capita,C: 30 Manufacture of other transport equipment,0.001375
2011,MISK per capita,C: 30 Manufacture of other transport equipment,0.001432
2012,MISK per capita,C: 30 Manufacture of other transport equipment,0.001343
2013,MISK per capita,C: 30 Manufacture of other transport equipment,0.001799
2014,MISK per capita,C: 30 Manufacture of other transport equipment,0.002428
2015,MISK per capita,C: 30 Manufacture of other transport equipment,0.002127
2016,MISK per capita,C: 30 Manufacture of other transport equipment,0.001431
2017,MISK per capita,C: 30 Manufacture of other transport equipment,0.001576
2018,MISK per capita,C: 30 Manufacture of other transport equipment,0.001423
2019,MISK per capita,C: 30 Manufacture of other transport equipment,0.001546
1997,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.016203
1998,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.018393
1999,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.019465
2000,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.021679
2001,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.023738
2002,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.024950
2003,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.025175
2004,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.028399
2005,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.026858
2006,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.034539
2007,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.024018
2008,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.028414
2009,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.022359
2010,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.030152
2011,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.035683
2012,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.037501
2013,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.042144
2014,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.046601
2015,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.051084
2016,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.052212
2017,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.047136
2018,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.047262
2019,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.052460
1997,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.013138
1998,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.013349
1999,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.012267
2000,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.012801
2001,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.013923
2002,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.013935
2003,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.011542
2004,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.012024
2005,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.013243
2006,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.012744
2007,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.013116
2008,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.022058
2009,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.022540
2010,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.022731
2011,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.031987
2012,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.030876
2013,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.033695
2014,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.035043
2015,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.035812
2016,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.039535
2017,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.033736
2018,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.036195
2019,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.032366
1997,MISK per capita,Thereof Fish processing,0.085055
1998,MISK per capita,Thereof Fish processing,0.086206
1999,MISK per capita,Thereof Fish processing,0.075064
2000,MISK per capita,Thereof Fish processing,0.064455
2001,MISK per capita,Thereof Fish processing,0.117190
2002,MISK per capita,Thereof Fish processing,0.088881
2003,MISK per capita,Thereof Fish processing,0.078025
2004,MISK per capita,Thereof Fish processing,0.074870
2005,MISK per capita,Thereof Fish processing,0.065972
2006,MISK per capita,Thereof Fish processing,0.073787
2007,MISK per capita,Thereof Fish processing,0.055952
2008,MISK per capita,Thereof Fish processing,0.115311
2009,MISK per capita,Thereof Fish processing,0.174260
2010,MISK per capita,Thereof Fish processing,0.159815
2011,MISK per capita,Thereof Fish processing,0.195053
2012,MISK per capita,Thereof Fish processing,0.201214
2013,MISK per capita,Thereof Fish processing,0.217367
2014,MISK per capita,Thereof Fish processing,0.185991
2015,MISK per capita,Thereof Fish processing,0.200237
2016,MISK per capita,Thereof Fish processing,0.169402
2017,MISK per capita,Thereof Fish processing,0.161401
2018,MISK per capita,Thereof Fish processing,0.173196
2019,MISK per capita,Thereof Fish processing,0.185352
1997,Percentage (%) of GDP,Thereof Fish processing,0.042703
1998,Percentage (%) of GDP,Thereof Fish processing,0.038958
1999,Percentage (%) of GDP,Thereof Fish processing,0.031891
2000,Percentage (%) of GDP,Thereof Fish processing,0.025410
2001,Percentage (%) of GDP,Thereof Fish processing,0.041540
2002,Percentage (%) of GDP,Thereof Fish processing,0.029897
2003,Percentage (%) of GDP,Thereof Fish processing,0.025707
2004,Percentage (%) of GDP,Thereof Fish processing,0.022403
2005,Percentage (%) of GDP,Thereof Fish processing,0.018291
2006,Percentage (%) of GDP,Thereof Fish processing,0.018314
2007,Percentage (%) of GDP,Thereof Fish processing,0.012491
2008,Percentage (%) of GDP,Thereof Fish processing,0.023100
2009,Percentage (%) of GDP,Thereof Fish processing,0.034192
2010,Percentage (%) of GDP,Thereof Fish processing,0.030347
2011,Percentage (%) of GDP,Thereof Fish processing,0.035339
2012,Percentage (%) of GDP,Thereof Fish processing,0.034914
2013,Percentage (%) of GDP,Thereof Fish processing,0.035713
2014,Percentage (%) of GDP,Thereof Fish processing,0.029212
2015,Percentage (%) of GDP,Thereof Fish processing,0.028727
2016,Percentage (%) of GDP,Thereof Fish processing,0.022614
2017,Percentage (%) of GDP,Thereof Fish processing,0.020873
2018,Percentage (%) of GDP,Thereof Fish processing,0.021651
2019,Percentage (%) of GDP,Thereof Fish processing,0.022312
